,Time,Bathroom,Livingroom,Kitchen
155,10:00,[],[1],[]
156,10:05,[],[1],[]
157,10:10,[],[1],[]
158,10:15,[],[1],[]
159,10:20,[],[1],[]
160,10:25,[],[1],[]
161,10:30,[],[1],[1]
162,10:35,[],[1],[1]
163,10:40,[],[1],[1]
164,10:45,[],[1],[1]
165,10:50,[],[1],[1]
166,10:55,[],[1],[1]
167,11:00,[],[1],[1]
168,11:05,[],[1],[1]
169,11:10,[],[1],[1]
170,11:15,[],[1],[1]
171,11:20,[],[1],[1]
172,11:25,[],[1],[1]
173,11:30,[],[],[]
174,11:35,[],[],[]
175,11:40,[],[],[]
176,11:45,[],[1],[]
177,11:50,[],[1],[]
178,11:55,[],[1],[]
179,12:00,[],"[1, 6]",[]
180,12:05,[],"[1, 6]",[]
181,12:10,[],"[1, 6]",[]
182,12:15,[],"[1, 6]",[]
183,12:20,[],"[1, 6]",[]
184,12:25,[],"[1, 6]",[]
185,12:30,[],[6],[]
186,12:35,[],[6],[]
187,12:40,[],[6],[]
188,12:45,[],"[1, 6]",[]
189,12:50,[],"[1, 6]",[]
190,12:55,[],"[1, 6]",[]
191,13:00,[],"[1, 4]",[]
192,13:05,[],"[1, 4]",[]
193,13:10,[],"[1, 4]",[]
194,13:15,[],"[1, 4]",[]
195,13:20,[],"[1, 4]",[]
196,13:25,[],"[1, 4]",[]
197,13:30,[],[4],[]
198,13:35,[],[4],[]
199,13:40,[],[4],[]
200,13:45,[],[4],[]
201,13:50,[],[4],[]
202,13:55,[],[4],[]
203,14:00,[],[4],[]
204,14:05,[],[4],[]
205,14:10,[],[4],[]
206,14:15,[],[4],[]
207,14:20,[],[4],[]
208,14:25,[],[4],[]
209,14:30,[],[4],[]
210,14:35,[],[4],[]
211,14:40,[],[4],[]
212,14:45,[],[4],[]
213,14:50,[],[4],[]
214,14:55,[],[4],[]
215,15:00,[],[4],[]
216,15:05,[],[4],[]
217,15:10,[],[4],[]
218,15:15,[],[4],[]
219,15:20,[],[4],[]
220,15:25,[],[4],[]
221,15:30,[1],[4],[]
222,15:35,[1],[4],[]
223,15:40,[1],[4],[]
224,15:45,[1],[4],[]
225,15:50,[1],[4],[]
226,15:55,[1],[4],[]
227,16:00,[1],[],[]
228,16:05,[1],[],[]
229,16:10,[1],[],[]
230,16:15,[1],[],[]
231,16:20,[1],[],[]
232,16:25,[1],[],[]
233,16:30,[],[],[]
234,16:35,[],[],[]
235,16:40,[],[],[]
236,16:45,[],[],[]
237,16:50,[],[],[]
238,16:55,[],[],[]
239,17:00,[],[],[]
240,17:05,[],[],[]
241,17:10,[],[],[]
242,17:15,[],[],[]
243,17:20,[],[],[]
244,17:25,[],[],[]
245,17:30,[],[],[]
246,17:35,[],[],[]
247,17:40,[],[],[]
248,17:45,[],[],[]
249,17:50,[],[],[]
250,17:55,[],[],[]
251,18:00,[],[],[]
252,18:05,[],[],[]
253,18:10,[],[],[]
254,18:15,[],[],[]
255,18:20,[],[],[]
256,18:25,[],[],[]
257,18:30,[],[],[]
258,18:35,[],[],[]
259,18:40,[],[],[]
260,18:45,[],[],[]
261,18:50,[],[],[]
262,18:55,[],[],[]
263,19:00,[],[],[]
264,19:05,[],[],[]
265,19:10,[],[],[]
266,19:15,[],[],[]
267,19:20,[],[],[]
268,19:25,[],[],[]
269,19:30,[],[],[]
270,19:35,[],[],[]
271,19:40,[],[],[]
272,19:45,[],[],[]
273,19:50,[],[],[]
274,19:55,[],[],[]
275,20:00,[],[],[]
276,20:05,[],[],[]
277,20:10,[],[],[]
278,20:15,[],[],[]
279,20:20,[],[],[]
280,20:25,[],[],[]
281,20:30,[],[],[]
282,20:35,[],[],[]
283,20:40,[],[],[]
284,20:45,[],[],[]
285,20:50,[],[],[]
286,20:55,[],[],[]
287,21:00,[],[],[]
